Institut,Institute_ID,Institute_Name
absMarktforschung,31,abs
allensbach,9,Allensbach
Allensbach,9,Allensbach
AMRDüsseldorf,32,AMR
aproxima,33,Aproxima
aproxima *,33,Aproxima
Basisresearch,34,BasisResearch
BasisResearch,34,BasisResearch
CONOSCOPE,23,Conoscope
CustomerResearch 42,35,CustomerResearch
dimap,1,Infratest dimap
election.de,36,Election.de
emnid,3,Emnid
Emnid,3,Emnid
FB Czaplicki,37,FB Czaplicki
forsa,2,Forsa
Forsa,2,Forsa
Forsch’gr.Wahlen,6,Forschungsgruppe Wahlen
Forschungs-gruppe Wahlen,6,Forschungsgruppe Wahlen
Forschungs-gruppeWahlen,6,Forschungsgruppe Wahlen
Forschungs-gruppeWahlen *,6,Forschungsgruppe Wahlen
Forschungs-gruppeWahlen **,6,Forschungsgruppe Wahlen
ForschungsgruppeWahlen,6,Forschungsgruppe Wahlen
GESS,11,GESS Phone & Field
GESSPhone & Field,11,GESS Phone & Field
gms,4,GMS
GMS,4,GMS
IfM Leipzig,38,IfM Leipzig
IfMLeipzig,38,IfM Leipzig
IM Field,20,IM Field
Infas,39,Infas
Info GmbH,40,Info GmbH
INFO GmbH,40,Info GmbH
Infratest,1,Infratest dimap
Infratest Burke,1,Infratest dimap
InfratestBurke,1,Infratest dimap
Infratestdimap,1,Infratest dimap
InfratestPolitik-forschung,1,Infratest dimap
InfratestPolitikforschung,1,Infratest dimap
InfratestSozialforschung,1,Infratest dimap
INRA,41,INRA
insa,5,INSA
INSA,5,INSA
Ipos,17,Ipsos
IWD,42,IWD
mafo.de,43,Mafo.de
Marktforschungs-service Dukath,44,Marktforschungsservice Dukath
Mentefactum,15,Mentefactum
mifmMünchen,45,MIFM
NFO Infratest,46,NFO
OmniQuest,47,OmniQuest
Peinelt,48,Peinelt
pmg – policymatters,21,Policy Matters
Polis,49,Polis
polis+sinus,50,Polis
politbarometer,6,Forschungsgruppe Wahlen
pollytix,22,pollytix
Projekt Contor,51,Projekt Contor
Psephos,52,Psephos
SaarZoom,53,SaarZoom
TNS Forschung,54,TNS
TNS Infratest,54,TNS
TNSInfratest,54,TNS
Trend ResearchHamburg,7,Trend Research Hamburg
TU Ilmenau,55,TU Ilmenau
Uni Freiburg,56,Uni Freiburg
Uni Halle/Uni Stuttgart,57,Uni Halle/Uni Stuttgart
Uni Jena,58,Uni Jena
uniQma,12,uniQma
UniversitätHamburg,18,Universität Hamburg
UniversitätKiel,59,Uni Kiel
Usuma,60,Usuma
yougov,13,YouGov
YouGov,13,YouGov
FGWTelefonfeld*,6,Forschungsgruppe Wahlen